customer_id,Age_Groups,gender,job_industry_category,state,owns_car,wealth_segment,Customer_Class
1,Age : 61 - 80,Female,Health,NSW,Yes,Mass Customer,General
2,Age : 21 - 40,Male,Financial Services,NSW,Yes,Mass Customer,Very Important
4,Age : 41 - 60,Male,IT,QLD,No,Mass Customer,Not Important
6,Age : 41 - 60,Male,Retail,VIC,Yes,High Net Worth,General
7,Age : 41 - 60,Female,Financial Services,NSW,Yes,Affluent Customer,Very Important
9,Age : 41 - 60,Female,Argiculture,NSW,Yes,Affluent Customer,Not Important
11,Age : 61 - 80,Male,Property,VIC,No,Mass Customer,Not Important
12,Age : 21 - 40,Male,Manufacturing,QLD,No,Mass Customer,Important
13,Age : 61 - 80,Male,Financial Services,VIC,Yes,High Net Worth,Not Important
14,Age : 21 - 40,Female,Financial Services,NSW,No,Affluent Customer,Important
15,Age : 0 - 20,Male,Manufacturing,NSW,No,Mass Customer,Not Important
19,Age : 0 - 20,Female,Manufacturing,NSW,No,High Net Worth,Not Important
20,Age : 21 - 40,Male,Manufacturing,NSW,No,Mass Customer,Very Important
21,Age : 21 - 40,Male,Manufacturing,NSW,Yes,Affluent Customer,Important
24,Age : 41 - 60,Female,Argiculture,NSW,Yes,Mass Customer,General
25,Age : 41 - 60,Male,Financial Services,QLD,Yes,Mass Customer,Important
26,Age : 41 - 60,Female,Financial Services,QLD,Yes,Mass Customer,Important
27,Age : 41 - 60,Male,Health,VIC,Yes,Mass Customer,Important
28,Age : 41 - 60,Male,Health,QLD,Yes,Affluent Customer,General
29,Age : 41 - 60,Female,Manufacturing,QLD,No,Mass Customer,Important
30,Age : 41 - 60,Male,IT,NSW,Yes,Affluent Customer,Not Important
31,Age : 41 - 60,Female,Telecommunications,NSW,Yes,High Net Worth,Not Important
32,Age : 21 - 40,Female,Manufacturing,NSW,No,Affluent Customer,Important
35,Age : 41 - 60,Female,Health,QLD,Yes,High Net Worth,General
37,Age : 21 - 40,Female,Health,QLD,No,High Net Worth,General
38,Age : 61 - 80,Female,Financial Services,QLD,No,Affluent Customer,Not Important
39,Age : 41 - 60,Male,Entertainment,NSW,No,Mass Customer,General
40,Age : 21 - 40,Female,Manufacturing,NSW,No,Affluent Customer,Important
41,Age : 41 - 60,Male,Health,VIC,No,Mass Customer,Important
42,Age : 41 - 60,Female,Manufacturing,VIC,No,Mass Customer,Very Important
43,Age : 21 - 40,Female,Retail,QLD,No,Mass Customer,General
44,Age : 21 - 40,Male,Entertainment,QLD,Yes,Affluent Customer,Not Important
45,Age : 41 - 60,Male,Financial Services,NSW,No,Mass Customer,Very Important
47,Age : 21 - 40,Male,Health,NSW,No,Affluent Customer,Important
50,Age : 21 - 40,Male,Manufacturing,NSW,Yes,Mass Customer,Very Important
51,Age : 41 - 60,Male,Retail,QLD,No,Mass Customer,General
52,Age : 21 - 40,Male,Financial Services,NSW,Yes,Mass Customer,Very Important
53,Age : 61 - 80,Female,Financial Services,QLD,No,Mass Customer,Not Important
54,Age : 41 - 60,Female,Property,NSW,Yes,Mass Customer,Important
55,Age : 61 - 80,Male,Financial Services,NSW,Yes,Affluent Customer,Not Important
56,Age : 21 - 40,Male,Property,NSW,Yes,Mass Customer,Important
58,Age : 41 - 60,Female,Financial Services,NSW,Yes,Affluent Customer,Very Important
60,Age : 41 - 60,Female,Manufacturing,NSW,No,Mass Customer,Very Important
61,Age : 41 - 60,Female,Property,NSW,No,High Net Worth,General
62,Age : 41 - 60,Female,IT,NSW,Yes,Mass Customer,General
63,Age : 41 - 60,Female,Retail,NSW,Yes,Mass Customer,Very Important
64,Age : 41 - 60,Male,IT,VIC,No,High Net Worth,Not Important
65,Age : 41 - 60,Male,Financial Services,NSW,Yes,Affluent Customer,Very Important
66,Age : 0 - 20,Male,Argiculture,NSW,No,High Net Worth,Not Important
67,Age : 41 - 60,Male,Retail,NSW,No,Mass Customer,Important
70,Age : 21 - 40,Male,Financial Services,NSW,No,Affluent Customer,Important
71,Age : 21 - 40,Male,Argiculture,NSW,Yes,Affluent Customer,Not Important
72,Age : 41 - 60,Male,Manufacturing,QLD,Yes,Affluent Customer,General
75,Age : 41 - 60,Female,Property,NSW,No,Mass Customer,Important
76,Age : 41 - 60,Female,Retail,QLD,Yes,High Net Worth,Not Important
77,Age : 21 - 40,Male,Financial Services,QLD,No,Mass Customer,Important
78,Age : 21 - 40,Male,Argiculture,NSW,No,Affluent Customer,Not Important
79,Age : 41 - 60,Female,Manufacturing,NSW,No,Mass Customer,Very Important
80,Age : 41 - 60,Male,Entertainment,VIC,No,Mass Customer,Not Important
81,Age : 21 - 40,Female,Health,NSW,No,High Net Worth,Important
82,Age : 41 - 60,Female,Property,VIC,No,High Net Worth,Not Important
83,Age : 41 - 60,Male,IT,NSW,Yes,Mass Customer,General
86,Age : 21 - 40,Male,Health,NSW,Yes,High Net Worth,Important
87,Age : 41 - 60,Male,Financial Services,NSW,No,Mass Customer,Very Important
88,Age : 41 - 60,Female,Property,NSW,Yes,High Net Worth,General
89,Age : 41 - 60,Male,Health,NSW,Yes,Mass Customer,Very Important
90,Age : 21 - 40,Male,Manufacturing,NSW,No,Mass Customer,Very Important
91,Age : 61 - 80,Male,Financial Services,NSW,Yes,Affluent Customer,Not Important
92,Age : 21 - 40,Female,Health,VIC,No,Mass Customer,Important
93,Age : 41 - 60,Male,Retail,VIC,Yes,Mass Customer,General
94,Age : 41 - 60,Male,Manufacturing,NSW,No,Mass Customer,Very Important
95,Age : 41 - 60,Female,Manufacturing,VIC,Yes,Affluent Customer,Important
96,Age : 41 - 60,Male,Manufacturing,NSW,No,Mass Customer,Very Important
97,Age : 41 - 60,Male,Financial Services,NSW,Yes,Mass Customer,Very Important
98,Age : 61 - 80,Female,Health,NSW,No,Mass Customer,General
99,Age : 21 - 40,Male,Financial Services,NSW,No,Mass Customer,Very Important
100,Age : 41 - 60,Male,Financial Services,NSW,Yes,Mass Customer,Very Important
101,Age : 41 - 60,Male,Manufacturing,NSW,No,High Net Worth,Very Important
102,Age : 61 - 80,Male,Manufacturing,NSW,No,Affluent Customer,Not Important
103,Age : 21 - 40,Female,Financial Services,NSW,Yes,Affluent Customer,Important
104,Age : 41 - 60,Female,Health,QLD,Yes,Mass Customer,Important
105,Age : 0 - 20,Female,Manufacturing,NSW,No,Mass Customer,Not Important
106,Age : 41 - 60,Male,Health,NSW,Yes,High Net Worth,Important
107,Age : 21 - 40,Female,Financial Services,NSW,Yes,Mass Customer,Very Important
110,Age : 0 - 20,Male,Financial Services,VIC,No,Affluent Customer,Not Important
112,Age : 41 - 60,Female,Retail,VIC,No,High Net Worth,General
114,Age : 21 - 40,Female,Entertainment,NSW,No,Affluent Customer,Not Important
115,Age : 21 - 40,Male,Health,VIC,No,Mass Customer,Important
116,Age : 21 - 40,Male,Manufacturing,NSW,Yes,Affluent Customer,Important
117,Age : 21 - 40,Female,Manufacturing,QLD,No,Mass Customer,Important
120,Age : 41 - 60,Male,Financial Services,NSW,Yes,High Net Worth,Very Important
121,Age : 61 - 80,Male,Manufacturing,NSW,No,Mass Customer,General
122,Age : 41 - 60,Male,Financial Services,QLD,Yes,Mass Customer,Important
123,Age : 21 - 40,Female,Financial Services,NSW,No,High Net Worth,Important
124,Age : 21 - 40,Female,Health,VIC,Yes,High Net Worth,General
125,Age : 41 - 60,Female,Property,NSW,No,Mass Customer,Important
126,Age : 21 - 40,Male,Health,QLD,Yes,Mass Customer,General
127,Age : 41 - 60,Female,Financial Services,QLD,No,Mass Customer,Important
128,Age : 41 - 60,Male,Property,NSW,Yes,Mass Customer,Important
129,Age : 21 - 40,Male,Financial Services,NSW,Yes,High Net Worth,Important
130,Age : 21 - 40,Male,Manufacturing,NSW,No,Mass Customer,Very Important
131,Age : 41 - 60,Female,Retail,QLD,No,High Net Worth,Not Important
132,Age : 41 - 60,Female,Manufacturing,NSW,Yes,Mass Customer,Very Important
133,Age : 41 - 60,Male,Financial Services,QLD,Yes,Mass Customer,Important
134,Age : 21 - 40,Female,Telecommunications,NSW,Yes,Affluent Customer,Not Important
135,Age : 41 - 60,Female,IT,VIC,No,Mass Customer,Not Important
136,Age : 41 - 60,Male,Manufacturing,QLD,Yes,High Net Worth,General
137,Age : 21 - 40,Male,Property,NSW,No,High Net Worth,General
138,Age : 21 - 40,Male,Financial Services,NSW,Yes,Affluent Customer,Important
139,Age : 41 - 60,Male,Telecommunications,QLD,No,Affluent Customer,Not Important
140,Age : 21 - 40,Male,Manufacturing,VIC,No,Mass Customer,Important
141,Age : 61 - 80,Male,Financial Services,NSW,Yes,High Net Worth,Not Important
142,Age : 41 - 60,Male,Health,VIC,No,Affluent Customer,General
143,Age : 61 - 80,Male,Argiculture,QLD,Yes,Mass Customer,Not Important
145,Age : 21 - 40,Male,Financial Services,NSW,No,Mass Customer,Very Important
146,Age : 21 - 40,Male,Manufacturing,NSW,No,Mass Customer,Very Important
147,Age : 41 - 60,Female,Health,NSW,Yes,Mass Customer,Very Important
149,Age : 21 - 40,Female,Health,QLD,Yes,Mass Customer,General
150,Age : 21 - 40,Male,Financial Services,NSW,No,Affluent Customer,Important
151,Age : 41 - 60,Male,Manufacturing,NSW,Yes,Mass Customer,Very Important
152,Age : 21 - 40,Female,Financial Services,NSW,No,Mass Customer,Very Important
153,Age : 41 - 60,Female,Entertainment,NSW,Yes,Mass Customer,General
155,Age : 21 - 40,Male,Manufacturing,NSW,No,Mass Customer,Very Important
156,Age : 41 - 60,Female,Financial Services,VIC,Yes,Mass Customer,Very Important
157,Age : 41 - 60,Male,Financial Services,VIC,No,Affluent Customer,General
159,Age : 21 - 40,Male,Health,NSW,No,Affluent Customer,Important
160,Age : 41 - 60,Male,Health,NSW,No,Mass Customer,Very Important
162,Age : 41 - 60,Male,IT,NSW,No,Mass Customer,General
163,Age : 41 - 60,Female,Entertainment,VIC,Yes,High Net Worth,Not Important
164,Age : 21 - 40,Female,Retail,QLD,Yes,Affluent Customer,Not Important
165,Age : 21 - 40,Male,Argiculture,NSW,Yes,Mass Customer,Not Important
166,Age : 61 - 80,Male,Manufacturing,QLD,No,Affluent Customer,Not Important
167,Age : 41 - 60,Female,Health,QLD,Yes,High Net Worth,General
169,Age : 61 - 80,Male,Telecommunications,NSW,Yes,High Net Worth,Not Important
170,Age : 41 - 60,Male,Health,VIC,No,High Net Worth,General
171,Age : 41 - 60,Female,Manufacturing,NSW,No,Mass Customer,Very Important
172,Age : 21 - 40,Male,Manufacturing,VIC,Yes,Affluent Customer,General
173,Age : 21 - 40,Female,Health,NSW,No,Affluent Customer,Important
174,Age : 21 - 40,Female,Health,NSW,No,Mass Customer,Very Important
175,Age : 41 - 60,Male,Manufacturing,VIC,No,Affluent Customer,General
176,Age : 21 - 40,Male,Property,NSW,No,Mass Customer,General
177,Age : 21 - 40,Female,Financial Services,NSW,No,High Net Worth,Important
179,Age : 41 - 60,Male,Manufacturing,NSW,Yes,High Net Worth,Very Important
180,Age : 41 - 60,Female,Argiculture,QLD,No,Affluent Customer,Not Important
181,Age : 21 - 40,Female,Manufacturing,VIC,No,Mass Customer,Important
182,Age : 21 - 40,Male,Financial Services,QLD,Yes,Affluent Customer,General
183,Age : 21 - 40,Female,Retail,NSW,No,Affluent Customer,General
184,Age : 41 - 60,Male,Manufacturing,NSW,Yes,High Net Worth,Very Important
185,Age : 21 - 40,Male,Property,NSW,Yes,Mass Customer,Important
186,Age : 41 - 60,Female,Financial Services,QLD,No,Mass Customer,Important
188,Age : 41 - 60,Female,Property,NSW,Yes,High Net Worth,General
189,Age : 21 - 40,Male,Financial Services,VIC,No,Affluent Customer,General
190,Age : 41 - 60,Female,Health,NSW,No,Affluent Customer,Important
192,Age : 41 - 60,Female,Health,VIC,Yes,Mass Customer,Important
193,Age : 41 - 60,Male,Manufacturing,QLD,Yes,Mass Customer,Important
194,Age : 41 - 60,Female,Financial Services,QLD,No,Affluent Customer,General
195,Age : 61 - 80,Female,Manufacturing,VIC,No,Mass Customer,Not Important
196,Age : 41 - 60,Male,Manufacturing,NSW,No,High Net Worth,Very Important
198,Age : 21 - 40,Female,Entertainment,VIC,No,Mass Customer,Not Important
199,Age : 41 - 60,Female,Health,NSW,Yes,Mass Customer,Very Important
200,Age : 61 - 80,Male,Property,QLD,Yes,Affluent Customer,Not Important
201,Age : 41 - 60,Male,Manufacturing,NSW,Yes,Mass Customer,Very Important
202,Age : 41 - 60,Female,Entertainment,QLD,Yes,Affluent Customer,Not Important
203,Age : 41 - 60,Male,Argiculture,NSW,Yes,Mass Customer,General
204,Age : 41 - 60,Male,Financial Services,VIC,No,Mass Customer,Important
205,Age : 61 - 80,Male,Financial Services,VIC,Yes,Mass Customer,Not Important
208,Age : 21 - 40,Male,Property,QLD,No,High Net Worth,Not Important
210,Age : 41 - 60,Male,Property,VIC,No,Mass Customer,General
211,Age : 41 - 60,Female,Manufacturing,NSW,Yes,Mass Customer,Very Important
212,Age : 0 - 20,Female,IT,QLD,No,Affluent Customer,Not Important
213,Age : 21 - 40,Male,Financial Services,QLD,Yes,High Net Worth,General
214,Age : 61 - 80,Male,Health,QLD,No,Mass Customer,Not Important
215,Age : 41 - 60,Female,Retail,QLD,Yes,High Net Worth,Not Important
216,Age : 21 - 40,Female,Financial Services,NSW,Yes,High Net Worth,Important
217,Age : 21 - 40,Female,Manufacturing,NSW,No,High Net Worth,Important
218,Age : 21 - 40,Female,Property,NSW,Yes,High Net Worth,General
219,Age : 41 - 60,Male,Health,NSW,No,Mass Customer,Very Important
220,Age : 61 - 80,Female,Manufacturing,VIC,No,High Net Worth,Not Important
221,Age : 21 - 40,Female,Manufacturing,NSW,No,Mass Customer,Very Important
222,Age : 41 - 60,Male,Health,NSW,No,Mass Customer,Very Important
224,Age : 41 - 60,Male,Financial Services,NSW,No,Affluent Customer,Important
225,Age : 41 - 60,Female,Health,NSW,No,Affluent Customer,Important
226,Age : 41 - 60,Male,Manufacturing,NSW,No,Mass Customer,Very Important
227,Age : 41 - 60,Male,Entertainment,NSW,No,Mass Customer,General
228,Age : 21 - 40,Female,Manufacturing,NSW,No,High Net Worth,Important
229,Age : 41 - 60,Male,Property,NSW,No,High Net Worth,General
230,Age : 61 - 80,Female,Property,NSW,No,High Net Worth,Not Important
231,Age : 21 - 40,Male,Financial Services,NSW,Yes,Mass Customer,Very Important
232,Age : 21 - 40,Female,Retail,NSW,No,Mass Customer,Important
233,Age : 21 - 40,Male,Property,NSW,No,Mass Customer,General
234,Age : 41 - 60,Female,Retail,NSW,No,High Net Worth,General
235,Age : 41 - 60,Female,Health,NSW,No,Mass Customer,Very Important
236,Age : 61 - 80,Male,Health,VIC,No,Affluent Customer,Not Important
237,Age : 41 - 60,Male,Property,NSW,Yes,High Net Worth,General
239,Age : 21 - 40,Male,Health,QLD,No,Affluent Customer,Not Important
240,Age : 21 - 40,Male,IT,NSW,Yes,High Net Worth,Not Important
241,Age : 21 - 40,Male,Entertainment,QLD,No,Mass Customer,Not Important
242,Age : 21 - 40,Male,Property,NSW,No,Affluent Customer,General
243,Age : 41 - 60,Female,Manufacturing,NSW,Yes,High Net Worth,Very Important
244,Age : 41 - 60,Male,Retail,VIC,No,Affluent Customer,Not Important
245,Age : 0 - 20,Female,Financial Services,VIC,No,Affluent Customer,Not Important
246,Age : 21 - 40,Female,Manufacturing,QLD,No,High Net Worth,General
247,Age : 21 - 40,Female,Financial Services,NSW,Yes,High Net Worth,Important
248,Age : 41 - 60,Female,Health,NSW,Yes,Affluent Customer,Important
249,Age : 21 - 40,Male,IT,NSW,No,High Net Worth,Not Important
250,Age : 21 - 40,Male,Health,NSW,Yes,Mass Customer,Very Important
251,Age : 41 - 60,Female,Financial Services,NSW,Yes,Affluent Customer,Very Important
252,Age : 21 - 40,Female,Property,NSW,Yes,Mass Customer,Important
253,Age : 21 - 40,Female,Health,NSW,Yes,Mass Customer,Very Important
254,Age : 41 - 60,Female,Retail,VIC,No,Mass Customer,General
255,Age : 61 - 80,Female,IT,VIC,No,Mass Customer,Not Important
256,Age : 41 - 60,Female,Health,NSW,Yes,High Net Worth,Important
257,Age : 41 - 60,Female,Manufacturing,NSW,Yes,Affluent Customer,Very Important
258,Age : 21 - 40,Female,Manufacturing,NSW,No,High Net Worth,Important
259,Age : 21 - 40,Female,Health,NSW,Yes,High Net Worth,Important
260,Age : 41 - 60,Female,Health,QLD,Yes,High Net Worth,General
262,Age : 41 - 60,Male,Health,NSW,Yes,High Net Worth,Important
263,Age : 21 - 40,Female,Health,NSW,No,High Net Worth,Important
264,Age : 41 - 60,Male,Health,NSW,No,Mass Customer,Very Important
265,Age : 41 - 60,Male,Retail,VIC,Yes,High Net Worth,General
266,Age : 21 - 40,Female,Retail,NSW,No,Affluent Customer,General
268,Age : 41 - 60,Female,Manufacturing,NSW,No,Mass Customer,Very Important
269,Age : 61 - 80,Male,Property,VIC,Yes,Mass Customer,Not Important
271,Age : 21 - 40,Female,Financial Services,QLD,No,Mass Customer,Important
272,Age : 21 - 40,Female,Retail,NSW,Yes,Mass Customer,Important
274,Age : 41 - 60,Female,Health,VIC,Yes,Mass Customer,Important
275,Age : 61 - 80,Male,Health,NSW,No,High Net Worth,Not Important
276,Age : 21 - 40,Female,Financial Services,VIC,No,Mass Customer,Important
279,Age : 21 - 40,Female,Manufacturing,NSW,No,Mass Customer,Very Important
281,Age : 41 - 60,Female,Financial Services,NSW,Yes,High Net Worth,Very Important
282,Age : 21 - 40,Male,Argiculture,QLD,Yes,High Net Worth,Not Important
283,Age : 21 - 40,Female,Retail,QLD,No,Mass Customer,General
284,Age : 21 - 40,Male,Financial Services,NSW,Yes,High Net Worth,Important
285,Age : 41 - 60,Female,Manufacturing,NSW,No,Mass Customer,Very Important
286,Age : 21 - 40,Male,Manufacturing,QLD,Yes,Affluent Customer,General
287,Age : 21 - 40,Female,Manufacturing,NSW,No,Affluent Customer,Important
288,Age : 21 - 40,Male,Manufacturing,VIC,No,High Net Worth,General
289,Age : 41 - 60,Female,Health,NSW,No,High Net Worth,Important
291,Age : 41 - 60,Female,Entertainment,VIC,No,Mass Customer,Not Important
293,Age : 21 - 40,Male,Manufacturing,NSW,Yes,Mass Customer,Very Important
296,Age : 41 - 60,Male,Health,NSW,Yes,High Net Worth,Important
297,Age : 61 - 80,Female,Manufacturing,VIC,No,High Net Worth,Not Important
298,Age : 61 - 80,Male,Manufacturing,VIC,No,High Net Worth,Not Important
299,Age : 61 - 80,Female,Financial Services,NSW,Yes,Mass Customer,General
300,Age : 61 - 80,Male,Health,VIC,No,Mass Customer,Not Important
301,Age : 21 - 40,Female,Manufacturing,NSW,No,High Net Worth,Important
302,Age : 41 - 60,Female,Health,QLD,No,Mass Customer,Important
303,Age : 41 - 60,Female,Argiculture,NSW,Yes,Mass Customer,General
304,Age : 41 - 60,Male,Manufacturing,NSW,Yes,Mass Customer,Very Important
305,Age : 41 - 60,Female,Financial Services,NSW,No,Mass Customer,Very Important
306,Age : 41 - 60,Male,Health,VIC,No,High Net Worth,General
307,Age : 21 - 40,Male,Health,VIC,Yes,Affluent Customer,General
308,Age : 21 - 40,Male,IT,VIC,No,High Net Worth,Not Important
309,Age : 41 - 60,Female,Health,VIC,Yes,Mass Customer,Important
310,Age : 21 - 40,Female,Financial Services,NSW,Yes,Mass Customer,Very Important
311,Age : 61 - 80,Female,Health,NSW,No,High Net Worth,Not Important
312,Age : 61 - 80,Male,Financial Services,NSW,Yes,Affluent Customer,Not Important
313,Age : 21 - 40,Male,Manufacturing,VIC,Yes,Mass Customer,Important
314,Age : 41 - 60,Female,Retail,VIC,Yes,High Net Worth,General
315,Age : 61 - 80,Female,Manufacturing,VIC,No,Affluent Customer,Not Important
316,Age : 41 - 60,Female,Manufacturing,VIC,Yes,Mass Customer,Very Important
317,Age : 41 - 60,Female,Entertainment,NSW,Yes,Mass Customer,General
318,Age : 41 - 60,Female,Retail,NSW,Yes,Affluent Customer,General
319,Age : 41 - 60,Female,Retail,NSW,Yes,Mass Customer,Very Important
320,Age : 21 - 40,Male,Health,QLD,No,Mass Customer,General
322,Age : 41 - 60,Female,Financial Services,QLD,Yes,Mass Customer,Important
323,Age : 41 - 60,Female,Health,QLD,Yes,Mass Customer,Important
324,Age : 21 - 40,Male,IT,NSW,Yes,Mass Customer,General
325,Age : 41 - 60,Female,Financial Services,QLD,Yes,Affluent Customer,General
326,Age : 21 - 40,Female,Financial Services,NSW,No,Mass Customer,Very Important
327,Age : 41 - 60,Female,Health,QLD,No,Mass Customer,Important
328,Age : 21 - 40,Female,Manufacturing,VIC,No,Mass Customer,Important
329,Age : 21 - 40,Male,Entertainment,VIC,Yes,High Net Worth,Not Important
330,Age : 61 - 80,Male,Manufacturing,NSW,Yes,High Net Worth,Not Important
331,Age : 21 - 40,Male,Health,NSW,Yes,Mass Customer,Very Important
332,Age : 41 - 60,Female,Health,QLD,No,High Net Worth,General
333,Age : 41 - 60,Female,Financial Services,QLD,Yes,Affluent Customer,General
334,Age : 21 - 40,Female,Financial Services,VIC,Yes,Affluent Customer,General
336,Age : 21 - 40,Female,Manufacturing,VIC,No,High Net Worth,General
337,Age : 21 - 40,Female,Argiculture,VIC,Yes,High Net Worth,Not Important
338,Age : 61 - 80,Female,Health,VIC,No,Mass Customer,Not Important
339,Age : 21 - 40,Female,Health,NSW,No,Mass Customer,Very Important
340,Age : 41 - 60,Male,Argiculture,NSW,Yes,Mass Customer,General
341,Age : 41 - 60,Male,Financial Services,NSW,No,Mass Customer,Very Important
342,Age : 21 - 40,Male,Health,NSW,No,High Net Worth,Important
343,Age : 61 - 80,Female,Property,NSW,No,Affluent Customer,Not Important
345,Age : 21 - 40,Female,Health,NSW,Yes,High Net Worth,Important
346,Age : 21 - 40,Male,Financial Services,NSW,No,Mass Customer,Very Important
347,Age : 41 - 60,Male,Financial Services,NSW,No,Mass Customer,Very Important
348,Age : 21 - 40,Male,Retail,NSW,Yes,Mass Customer,Important
349,Age : 21 - 40,Female,Manufacturing,VIC,No,High Net Worth,General
350,Age : 41 - 60,Female,Health,VIC,Yes,Mass Customer,Important
351,Age : 21 - 40,Male,Health,VIC,Yes,Mass Customer,Important
352,Age : 41 - 60,Male,Retail,QLD,No,Mass Customer,General
354,Age : 21 - 40,Female,Property,NSW,No,Mass Customer,Important
355,Age : 41 - 60,Female,Retail,NSW,Yes,Mass Customer,Very Important
356,Age : 41 - 60,Female,Entertainment,QLD,No,High Net Worth,Not Important
359,Age : 61 - 80,Female,Manufacturing,NSW,Yes,Affluent Customer,Not Important
360,Age : 61 - 80,Female,Property,NSW,Yes,Mass Customer,Not Important
361,Age : 21 - 40,Female,Health,NSW,Yes,Mass Customer,Very Important
362,Age : 41 - 60,Female,Financial Services,NSW,Yes,High Net Worth,Very Important
363,Age : 21 - 40,Female,Retail,NSW,Yes,Mass Customer,Important
364,Age : 41 - 60,Female,Financial Services,QLD,No,Affluent Customer,General
365,Age : 41 - 60,Female,Property,QLD,No,High Net Worth,Not Important
366,Age : 61 - 80,Female,Entertainment,NSW,No,High Net Worth,Not Important
367,Age : 21 - 40,Female,Manufacturing,NSW,Yes,Mass Customer,Very Important
368,Age : 21 - 40,Female,Financial Services,QLD,No,High Net Worth,General
369,Age : 21 - 40,Male,Financial Services,VIC,Yes,Mass Customer,Important
370,Age : 21 - 40,Male,Telecommunications,QLD,Yes,Affluent Customer,Not Important
371,Age : 61 - 80,Male,Financial Services,VIC,No,Mass Customer,Not Important
372,Age : 21 - 40,Female,Property,VIC,Yes,Affluent Customer,Not Important
373,Age : 0 - 20,Female,Health,VIC,Yes,High Net Worth,Not Important
374,Age : 21 - 40,Male,Financial Services,VIC,Yes,Mass Customer,Important
375,Age : 41 - 60,Male,Manufacturing,NSW,Yes,Mass Customer,Very Important
376,Age : 41 - 60,Female,Financial Services,VIC,Yes,Mass Customer,Very Important
377,Age : 21 - 40,Male,Argiculture,NSW,No,Mass Customer,Not Important
378,Age : 41 - 60,Female,Retail,NSW,No,Mass Customer,Very Important
379,Age : 21 - 40,Male,Manufacturing,VIC,Yes,High Net Worth,General
380,Age : 61 - 80,Female,Property,QLD,No,Mass Customer,Not Important
382,Age : 21 - 40,Male,Health,NSW,Yes,Mass Customer,Very Important
384,Age : 41 - 60,Female,Financial Services,VIC,No,Affluent Customer,General
